,EC,p_value,adjusted_p_value,mean_1,std_1,median_1,mean_0,std_0,median_0,delta_mean,delta_median
297,"1.1.1.239,1.1.1.304,1.1.1.62,1.1.1.76",0.0020368678957822287,0.04341633920492921,7.642857142857144,3.5758823657773693,7.075,17.421739130434784,13.479339634248603,15.0,-9.77888198757764,-7.925
304,"1.1.1.25,2.3.1.128,4.2.1.10",5.500032782063565e-06,0.0014817654147085296,1.135,1.4624038429927628,0.39,0.10782608695652174,0.4259409687793463,0.0,1.0271739130434783,0.39
363,"1.1.1.29,1.1.1.399,1.1.1.95",0.0007198026495289682,0.025928611598098075,50.45428571428572,17.579196598855834,56.17,33.6754347826087,18.155172781441866,39.285,16.77885093167702,16.885000000000005
402,"1.1.1.303,1.1.1.4,1.1.2.4,1.1.3.15",5.21282672108404e-05,0.0060564236087636975,0.2857142857142857,0.2548308762889695,0.21999999999999997,0.05760869565217392,0.09390524323483929,0.0,0.22810559006211178,0.21999999999999997
421,"1.1.1.31,1.1.1.411,1.1.1.60",7.026751998447881e-05,0.007144587458081233,0.5792857142857143,0.4286767727673195,0.5,0.15413043478260868,0.21389326967638422,0.095,0.4251552795031056,0.405
465,"1.1.1.343,1.1.1.44,2.2.1.2,3.1.26.12,5.3.1.9",0.0014261244722323732,0.038474815521247416,0.4457142857142858,0.5591666539939373,0.28,0.1284782608695652,0.34139080876616895,0.05,0.3172360248447206,0.23000000000000004
471,"1.1.1.35,4.2.1.116,4.2.1.17",0.001610426027548389,0.03882866306321628,0.13642857142857143,0.23891442409535746,0.0,0.0019565217391304345,0.013124746824455285,0.0,0.134472049689441,0.0
478,1.1.1.357,6.961436355381002e-05,0.007144587458081233,5.560714285714285,4.646366421018402,3.66,1.4593478260869568,1.3637980887371488,1.02,4.101366459627329,2.64
535,"1.1.1.404,1.14.13.238,1.14.13.239",0.0008632121849946812,0.02954621292124948,1.0392857142857144,0.7206888003422668,1.0,0.4128260869565218,0.7012462912975733,0.07,0.6264596273291926,0.9299999999999999
598,"1.1.1.77,1.1.99.37,1.2.98.1",3.9102281358478094e-05,0.005119916173429933,0.8771428571428572,0.5793152185546135,0.78,0.16369565217391305,0.21639696509617581,0.1,0.7134472049689442,0.68
609,"1.1.1.85,1.1.1.87",0.0016839135806318965,0.03951841973220352,1.1264285714285713,0.6864776257185989,1.085,0.523695652173913,0.809415674088016,0.32499999999999996,0.6027329192546583,0.76
651,"1.1.2.8,1.1.5.5,1.1.9.1",0.002288925744781727,0.045510064505340245,12.418571428571429,9.394308198617516,9.415,6.716304347826085,8.266339907878805,3.59,5.702267080745344,5.824999999999999
666,1.1.3.37,0.00038661115450816774,0.01769814626760237,0.5521428571428573,0.5156712486989108,0.445,0.1760869565217391,0.6956900804889612,0.0,0.37605590062111816,0.445
671,"1.1.3.46,2.6.1.103",0.00016847626626156732,0.013363083849919893,0.6914285714285714,0.6860118402024554,0.30999999999999994,0.19413043478260872,0.3732558050857961,0.08,0.4972981366459627,0.22999999999999993
690,"1.1.3.9,3.1.3.5,3.2.1.4,3.2.1.78,3.2.1.8",4.2030785731610006e-08,0.00017335597575002547,0.335,0.4281313216425874,0.15000000000000002,0.008478260869565218,0.0327020403102572,0.0,0.3265217391304348,0.15000000000000002
700,"1.1.5.3,1.1.99.2",0.00013869305929940646,0.01144079046160804,0.05357142857142857,0.0786136250329186,0.015,0.004130434782608695,0.01595865404541996,0.0,0.04944099378881987,0.015
731,"1.1.98.6,1.17.4.1,3.5.4.13,6.5.1.3",7.411338698738787e-05,0.007144587458081233,0.09714285714285717,0.11816626128520125,0.055,0.02282608695652174,0.0878403453772379,0.0,0.07431677018633542,0.055
734,"1.1.98.6,1.8.1.9,1.8.4.11,1.8.4.12",0.0011439341544270654,0.03469232661716494,0.08285714285714287,0.11473127431577866,0.025,0.013043478260869568,0.044715018643063625,0.0,0.06981366459627329,0.025
775,1.10.3.4,0.00023297132330462556,0.014141675439300535,0.305,0.4189911352625154,0.14,0.06173913043478261,0.1325060186955604,0.0,0.2432608695652174,0.14
783,"1.11.1.10,2.3.1.12,3.8.1.5",8.923809023097464e-06,0.0017413746226110065,0.7307142857142858,0.6283591362283456,0.8049999999999999,0.04065217391304349,0.10692138871544513,0.0,0.6900621118012422,0.8049999999999999
786,"1.11.1.10,3.4.11.5",0.0009256643321278427,0.030320757404462644,9.633571428571429,4.745255686537054,8.98,4.856304347826088,3.923200423066137,3.455,4.777267080745341,5.525
819,"1.11.1.7,1.6.3.1,3.1.3.1,3.1.4.46",0.001639530655267659,0.03897547082219861,0.17071428571428574,0.14547774919280296,0.12000000000000001,0.07630434782608696,0.16047969796630748,0.0,0.09440993788819878,0.12000000000000001
823,1.11.1.9,0.0003513309022465277,0.01714869001557164,1403.5628571428574,135.43603125928234,1456.865,1231.4417391304348,140.8753601330893,1208.205,172.12111801242258,248.66000000000008
833,"1.12.1.2,1.12.1.3,1.17.1.9,1.6.5.3",0.0021881606359931125,0.044568239719277,0.09857142857142857,0.09272518095789012,0.09,0.026521739130434787,0.046072598255567296,0.0,0.07204968944099378,0.09
834,"1.12.1.2,1.12.1.3,1.6.5.3",0.0003361391326450032,0.01707275925561522,0.41357142857142865,0.45099266929197646,0.17500000000000002,0.3221739130434783,0.9032355199707671,0.0,0.09139751552795033,0.17500000000000002
843,"1.12.1.3,1.12.1.5",1.3865520557066978e-06,0.0009531389922937124,0.4128571428571428,0.3572999654437745,0.38,0.036086956521739134,0.08786051843366788,0.0,0.37677018633540366,0.38
844,"1.12.1.3,1.12.1.5,1.8.98.5",7.489885367773361e-06,0.001669839578344931,0.5671428571428572,0.4280592177229116,0.595,0.05043478260869565,0.0990817958478297,0.0,0.5167080745341616,0.595
850,"1.12.1.3,1.17.99.7,1.6.5.3",0.0012972706457367253,0.036853532923677976,0.1457142857142857,0.1462245966076201,0.1,0.061956521739130424,0.13832255255172038,0.0,0.08375776397515529,0.1
858,"1.12.2.1,1.12.99.6",0.0005089884790579234,0.02109872343592367,0.36714285714285727,0.35151566864952466,0.255,0.12391304347826088,0.32147403885221376,0.0,0.2432298136645964,0.255
863,"1.12.5.1,1.2.5.3,1.3.99.16,1.7.1.15",0.0003727320645680324,0.017303202726316854,0.07142857142857142,0.14898979556893646,0.0,0.011521739130434782,0.0772901757440145,0.0,0.05990683229813664,0.0
866,"1.12.7.2,1.12.99.6",0.0017567656179349465,0.04036646123215982,27.155,15.255378793817517,29.87,11.084782608695651,9.639683320418698,7.88,16.07021739130435,21.990000000000002
873,1.12.98.2,5.597084572591323e-05,0.0061507396929399135,0.056428571428571425,0.08005419082963586,0.0,0.003695652173913044,0.024791188446193317,0.0,0.05273291925465838,0.0
875,1.12.98.4,1.8731882623706778e-05,0.0030903859952591444,0.7064285714285713,0.5537612577747245,0.8049999999999999,0.05543478260869566,0.09305693726304787,0.0,0.6509937888198757,0.8049999999999999
900,"1.13.11.25,1.13.11.56",0.0022856977764354205,0.045510064505340245,4.993571428571428,3.2327069752384148,4.9350000000000005,2.1884782608695645,2.9841719901705925,1.045,2.805093167701864,3.8900000000000006
907,"1.13.11.33,1.13.11.34",0.00023532927774999894,0.014141675439300535,0.32357142857142857,0.48223596984489336,0.05500000000000001,0.08869565217391305,0.3617986991087014,0.0,0.2348757763975155,0.05500000000000001
953,1.13.11.78,0.0025707011774509,0.04874876784549993,136.82500000000002,37.76853901444579,134.76999999999998,94.9558695652174,37.670507872529285,82.975,41.86913043478262,51.79499999999999
968,"1.13.11.81,3.1.3.18,4.1.2.25,5.1.99.8",0.0011501969235468816,0.03475448506350999,0.7492857142857143,0.997199394631315,0.32499999999999996,0.10608695652173913,0.2969956686909289,0.0,0.6431987577639752,0.32499999999999996
970,"1.13.11.81,4.1.2.25,5.1.99.7,5.1.99.8",7.870902438576071e-05,0.007378076615433411,0.7614285714285713,0.929468797162099,0.48,0.11456521739130436,0.36146264778907916,0.0,0.646863354037267,0.48
976,"1.13.12.16,4.1.1.20,5.4.99.1",5.666822847174608e-05,0.0061507396929399135,1.6664285714285718,1.119136192036756,1.2550000000000001,0.4436956521739131,0.6199486609026666,0.13,1.2227329192546588,1.125
1006,"1.14.11.24,1.14.11.25",0.00037149613730270926,0.017303202726316854,0.2864285714285714,0.3676490396105103,0.13,0.08043478260869565,0.3412888393042591,0.0,0.2059937888198758,0.13
1007,1.14.11.26,0.00021715662658413666,0.013994726661660494,0.09642857142857143,0.15559136695005846,0.0,0.0,0.0,0.0,0.09642857142857143,0.0
1042,1.14.11.9,0.0015252675668883085,0.038474815521247416,0.023571428571428573,0.04893248159558271,0.0,0.0,0.0,0.0,0.023571428571428573,0.0
1063,"1.14.12.11,1.14.12.19,1.14.12.3",0.0020972239375319384,0.04402035689745791,3.318571428571428,1.8631917972848064,3.2699999999999996,1.6056521739130438,1.3044249977170734,0.965,1.7129192546583842,2.3049999999999997
1089,"1.14.13.1,1.14.13.114,1.14.13.218,1.14.13.24",0.0013880873879328379,0.03842393578207375,0.3135714285714285,0.3082811134305168,0.25,0.0815217391304348,0.15323989989136172,0.0,0.2320496894409937,0.25
