,EC,p_value,adjusted_p_value,mean_1,std_1,median_1,mean_0,std_0,median_0,delta_mean,delta_median
2669,"2.1.1.235,2.1.1.324",0.0014314593775544208,0.04704425659540405,0.3227272727272727,0.3697195720860218,0.19,0.07653061224489797,0.19069744195718233,0.0,0.2461966604823747,0.19
2751,"2.1.1.315,2.1.1.95",0.0015348629826805501,0.04907397187648006,0.05545454545454545,0.0748773101162691,0.0,0.007142857142857143,0.02449489742783178,0.0,0.048311688311688306,0.0
2774,2.1.1.343,0.0014672334022681334,0.04802860450519775,0.26272727272727275,0.3112172847820433,0.08,0.03142857142857143,0.08766820567180718,0.0,0.23129870129870134,0.08
2809,"2.1.1.45,3.4.13.9",6.955706445234676e-05,0.008315597458947948,1.2854545454545454,1.6760850685525464,0.64,0.2389795918367347,0.46218312872871725,0.0,1.0464749536178106,0.64
2830,2.1.1.67,0.0013295502494222666,0.04588895400621037,131.2627272727273,18.583747097890324,134.02,96.30387755102042,41.302839790509765,92.02,34.95884972170687,42.000000000000014
2857,"2.1.1.80,2.7.13.1,3.1.1.61",6.967863369235413e-07,0.000821112927611756,1.8990909090909087,1.1695333532921623,1.74,0.3293877551020408,1.0774959788044958,0.0,1.569703153988868,1.74
2863,"2.1.1.80,2.7.13.3,3.1.1.61,3.1.4.52",7.622698650394326e-08,0.00020959880389034263,0.4209090909090909,0.6516197238135213,0.02,0.0,0.0,0.0,0.4209090909090909,0.02
2901,"2.1.2.2,6.3.3.1,6.3.4.13",0.0011244772783002024,0.04197200483573923,2.511818181818182,0.8505486804711648,2.5100000000000002,8.329999999999998,8.3284305305406,5.97,-5.818181818181817,-3.4599999999999995
2911,"2.1.3.1,4.1.1.3,6.4.1.1",0.00040794932641977403,0.02171923421945106,0.5563636363636363,0.42944515423493573,0.48,0.13020408163265307,0.1713867781902744,0.05,0.4261595547309832,0.43
2930,"2.1.3.15,6.4.1.3,6.4.1.4,6.4.1.5",0.0005617699247009709,0.027099649759405313,5.713636363636364,3.2824444126769383,5.79,2.0359183673469388,1.680563460377655,1.9100000000000001,3.677717996289425,3.88
3012,"2.3.1.12,2.3.1.39,4.1.1.3,6.3.4.14,6.4.1.2",0.0003317885267230157,0.01900641358984831,0.4481818181818182,0.44584583927260574,0.39,0.030816326530612247,0.062199046343954977,0.0,0.41736549165120596,0.39
3020,"2.3.1.12,3.7.1.14,3.7.1.8,3.7.1.9",2.245298749960479e-05,0.0048846817287873205,3.48,2.972051632978624,1.77,0.736326530612245,1.1771648643531436,0.4,2.743673469387755,1.37
3037,"2.3.1.128,2.7.6.5,3.1.7.2",0.00027588440498480654,0.017181596394659063,0.25363636363636366,0.22112410037939112,0.27,0.14734693877551022,0.582351936197236,0.0,0.10628942486085344,0.27
3097,"2.3.1.180,2.3.1.194",0.0012424851479459667,0.04461113706652638,0.10090909090909092,0.14841309336103647,0.0,0.009387755102040816,0.0372749389610804,0.0,0.0915213358070501,0.0
3109,"2.3.1.182,2.3.3.13,2.3.3.14",0.0009590662571460631,0.0387810664470484,0.27,0.32062439083762795,0.12,0.05673469387755103,0.13383492352715165,0.0,0.21326530612244898,0.12
3110,2.3.1.183,0.00021036241596095347,0.015424406237173782,846.5327272727275,46.99636235263497,844.19,757.3893877551019,74.13420165299682,772.15,89.14333951762558,72.04000000000008
3119,"2.3.1.189,2.3.1.59,2.3.1.82",1.3035420810351003e-05,0.003892448220901351,3.862727272727273,2.4136697480998848,4.26,0.5008163265306123,0.8565851441165668,0.06,3.3619109461966605,4.2
3123,"2.3.1.19,2.3.1.8,4.2.1.119",0.0009461917792294277,0.03856889481031833,10.04,8.04586059581402,10.43,2.119591836734694,3.6471565436392925,0.5700000000000001,7.920408163265305,9.86
3128,"2.3.1.193,3.1.11.5",0.0009030519329601218,0.037622603004990124,0.3272727272727272,0.309635883200396,0.14,0.046122448979591835,0.09559302182991146,0.0,0.2811502782931354,0.14
3140,"2.3.1.201,6.2.1.3",0.0002868298415645916,0.017181596394659063,0.02909090909090909,0.043994740482046775,0.0,0.0020408163265306124,0.014139190265868386,0.0,0.02705009276437848,0.0
3142,"2.3.1.202,2.3.1.57",0.0012100899873370933,0.04397371059710874,0.49090909090909096,0.31537725015821194,0.54,0.15551020408163263,0.22294925957458642,0.0,0.33539888682745833,0.54
3148,"2.3.1.204,3.2.1.170,3.2.1.24",0.00010509276742504784,0.011406713664331838,0.9672727272727273,0.5698339616078115,1.09,0.31061224489795924,0.840841192420109,0.05,0.656660482374768,1.04
3152,"2.3.1.209,2.3.1.30",0.0004251787472544055,0.022198098013301207,1.6700000000000002,1.2759737814348269,1.92,0.2875510204081632,0.4033306771769536,0.14,1.3824489795918369,1.7799999999999998
3158,"2.3.1.21,2.3.1.7",0.00039372305224023705,0.02136724643374813,0.1790909090909091,0.12324805330968963,0.16,0.056938775510204084,0.10964142077481956,0.0,0.12215213358070502,0.16
3191,"2.3.1.241,2.3.1.242,2.3.1.243",1.5544031893787113e-05,0.003892448220901351,0.11000000000000001,0.09667189118587959,0.12,0.007959183673469388,0.025949683796330336,0.0,0.10204081632653063,0.12
3219,"2.3.1.263,2.5.1.47",0.00010752961073235703,0.011485033831902573,0.056363636363636366,0.0852027237371635,0.0,0.0028571428571428576,0.01511857892036909,0.0,0.05350649350649351,0.0
3228,"2.3.1.29,2.3.1.37",0.0002220850698870011,0.015424406237173782,0.16090909090909092,0.29376720980007115,0.0,0.0,0.0,0.0,0.16090909090909092,0.0
3242,"2.3.1.39,5.2.1.8",0.0010302270179071346,0.03989832239772748,2.23,1.8316708715864272,1.9900000000000002,0.7544897959183673,1.572275176134163,0.28,1.4755102040816328,1.7100000000000002
3265,"2.3.1.47,6.3.3.3",0.00026749733117110866,0.017105313835895156,0.16909090909090907,0.20672575357241446,0.11,0.03938775510204082,0.1518512720712418,0.0,0.12970315398886825,0.11
3280,"2.3.1.54,4.1.1.83,4.3.99.4",0.0006090960434916039,0.02822715316158562,0.4809090909090909,1.1218690131404059,0.0,0.016734693877551023,0.07608769792763281,0.0,0.4641743970315399,0.0
3283,"2.3.1.54,4.3.99.4",0.00021036241596095347,0.015424406237173782,27.037272727272725,13.082897295816878,35.17,9.467142857142859,17.04711466399364,3.91,17.57012987012987,31.26
3284,2.3.1.57,0.0005444441515913493,0.02641835180280612,552.9918181818182,59.436793749660374,533.35,452.525306122449,88.9540058888963,460.79,100.46651205936917,72.56
3308,"2.3.1.82,3.1.3.25",0.00017949407880380995,0.015424406237173782,0.053636363636363635,0.07666606779021097,0.0,0.0014285714285714288,0.00989743318610787,0.0,0.0522077922077922,0.0
3416,"2.4.1.1,2.4.1.8",0.001163286012906987,0.04268045145589922,67.6209090909091,16.36394232037203,63.54,45.60163265306124,20.041698403215843,43.94,22.019276437847857,19.6
3427,"2.4.1.109,3.2.1.99",0.00028362044755093967,0.017181596394659063,7.74181818181818,2.823990787333087,8.68,3.7118367346938768,2.5836871876348577,3.12,4.029981447124303,5.56
3441,"2.4.1.12,3.1.3.3",3.271144432201663e-05,0.005501826650608795,2.9790909090909095,3.111034480231629,1.1300000000000001,0.22999999999999998,0.37926351831744987,0.04,2.7490909090909095,1.09
3501,"2.4.1.16,2.7.11.1",0.0003183456020680832,0.018624346606096583,0.9609090909090909,1.0751867029874353,0.9,0.14387755102040817,0.3518279747003606,0.0,0.8170315398886827,0.9
3541,"2.4.1.187,2.4.1.304",0.00039640907882036334,0.021372408439144952,1.28,1.3776792079435618,1.12,0.1720408163265306,0.4659507707719852,0.0,1.1079591836734695,1.12
3557,2.4.1.211,0.00021188212566243932,0.015424406237173782,0.8445454545454546,0.44171903114914446,0.81,0.27387755102040817,0.3419023391204619,0.12,0.5706679035250464,0.6900000000000001
3564,"2.4.1.216,2.4.1.64,2.4.1.8,3.1.3.12,3.2.1.28,5.4.2.6",1.2657302360532798e-05,0.003892448220901351,0.02727272727272728,0.03386897456399483,0.02,0.0020408163265306124,0.010686553029866161,0.0,0.025231910946196666,0.02
3600,"2.4.1.25,3.2.1.133,3.2.1.135,3.2.1.20,3.2.1.54",1.4542240001282334e-05,0.003892448220901351,0.20999999999999996,0.181959036349094,0.1,0.036734693877551024,0.0886494530780012,0.0,0.17326530612244895,0.1
3636,2.4.1.281,0.00047213215660142876,0.024040852838303615,38.00363636363637,15.41013142102374,37.480000000000004,20.2834693877551,12.584040840752065,18.44,17.720166975881266,19.040000000000003
3650,2.4.1.310,0.00066586156908259,0.030179626831660904,9.396363636363636,10.146529431491944,6.960000000000001,2.299591836734694,2.236755083327297,1.96,7.096771799628943,5.000000000000001
3670,2.4.1.338,0.00045385231718946255,0.023398923528099226,0.8527272727272728,0.9705302291118164,0.49,0.14326530612244898,0.26498662080282115,0.05,0.7094619666048239,0.44
3677,"2.4.1.345,2.7.8.5",0.0009728520094147282,0.03879643665387715,0.07272727272727272,0.10018990233015312,0.03,0.015714285714285715,0.0510701798049128,0.0,0.05701298701298701,0.03
3708,"2.4.1.64,3.1.3.12,3.2.1.28,5.4.2.6",0.0013919039055144155,0.046541541943273396,2.896363636363636,2.3863714285587063,1.8699999999999999,0.7791836734693875,0.9226621570542356,0.46,2.1171799628942485,1.41
3821,"2.4.99.18,2.4.99.19",0.00020948240701687692,0.015424406237173782,0.017272727272727273,0.02525898907172692,0.0,0.0006122448979591836,0.004241757079760516,0.0,0.01666048237476809,0.0
3849,"2.5.1.103,2.5.1.32,2.5.1.99,4.2.3.156",0.0005841453337180396,0.02778237170729659,10.600000000000001,6.512407737961018,9.32,2.539795918367347,2.145708093766906,1.8599999999999999,8.060204081632655,7.460000000000001
3860,"2.5.1.115,2.5.1.116,2.5.1.138",0.0002220850698870011,0.015424406237173782,0.045454545454545456,0.08194938974354136,0.0,0.0,0.0,0.0,0.045454545454545456,0.0
3877,"2.5.1.133,2.5.1.62,2.5.1.74",0.0011241187156862545,0.04197200483573923,2.785454545454545,2.104239718612979,2.03,0.9248979591836735,0.9286618031822524,0.66,1.8605565862708717,1.3699999999999997
3925,"2.5.1.3,2.7.1.49,2.7.4.7,4.1.99.17",0.0004081078074936252,0.02171923421945106,0.5472727272727272,0.3621925883758255,0.58,0.22755102040816325,0.6420646881144053,0.07,0.319721706864564,0.51
3965,"2.5.1.47,4.2.1.22",0.0002633420895932012,0.017102612918453497,143.36727272727273,23.003656662250695,141.85,101.6691836734694,30.74291262851702,99.92,41.69808905380333,41.92999999999999
3968,"2.5.1.47,6.1.1.16",0.00025361980405190965,0.016736878108993623,7.587272727272725,4.457125227010813,7.83,1.8618367346938776,2.392859849439312,1.4,5.725435992578848,6.43
3983,"2.5.1.48,4.4.1.8",0.00018771810008198935,0.015424406237173782,12.075454545454544,10.932864021036725,8.84,2.6785714285714284,2.4569908590861,2.21,9.396883116883116,6.63
4023,2.5.1.82,0.0006857945724456366,0.03074521428317422,0.12181818181818184,0.24401259959340332,0.0,0.008775510204081634,0.03761418821870195,0.0,0.1130426716141002,0.0
4053,"2.6.1.1,4.1.1.82",0.0002220850698870011,0.015424406237173782,0.026363636363636367,0.049040378033677015,0.0,0.0,0.0,0.0,0.026363636363636367,0.0
4070,2.6.1.109,0.000721010452520673,0.0318054289991606,46.96636363636364,21.46103753855822,45.42,26.25795918367347,12.566963164663429,24.84,20.708404452690168,20.580000000000002
4081,"2.6.1.11,2.6.1.17,4.1.1.64",4.668172754607122e-05,0.006701700035714292,0.2072727272727273,0.18503517646362708,0.14,0.02510204081632653,0.0474286768062337,0.0,0.18217068645640078,0.14
4106,"2.6.1.19,2.6.1.22,2.6.1.33,2.6.1.36",0.00019361516820730728,0.015424406237173782,5.404545454545454,3.369829679095919,6.1899999999999995,1.2804081632653062,1.2734237302123965,0.8400000000000001,4.124137291280148,5.35
4161,"2.6.1.55,5.1.1.21",1.0263277286296797e-06,0.0009406863814962475,0.7081818181818181,0.4813582710663306,0.63,0.06020408163265306,0.10959088662986476,0.0,0.647977736549165,0.63
4220,"2.7.1.107,3.1.3.27,3.1.3.4,3.1.3.81,3.6.1.27",0.0012726038761320176,0.04511917214695261,1.478181818181818,1.158014116587046,1.2,0.3751020408163266,0.6443066909761619,0.11,1.1030797773654915,1.0899999999999999
4249,"2.7.1.121,2.7.1.209,2.7.1.28,2.7.1.29,4.6.1.15",1.3572419630901369e-05,0.003892448220901351,0.7354545454545456,0.3792423939757128,0.78,0.1259183673469388,0.20225179666563486,0.04,0.6095361781076067,0.74
4292,"2.7.1.15,4.1.2.4,5.4.2.8,5.4.3.3",0.0001129197260444451,0.011736180855793572,0.3845454545454546,0.2985834324199896,0.32999999999999996,0.06346938775510204,0.0846734669283476,0.03,0.32107606679035255,0.29999999999999993
4339,"2.7.1.170,4.2.1.126",0.0009415854156732467,0.03856889481031833,1.0018181818181817,0.5850535046521685,1.02,0.3873469387755102,0.5397231925083869,0.17,0.6144712430426715,0.85
4381,"2.7.1.193,2.7.1.208",3.7771056919414116e-05,0.005991797087081674,0.10090909090909092,0.08826144483650887,0.12,0.017959183673469388,0.0529913197295609,0.0,0.08294990723562154,0.12
4410,"2.7.1.20,2.7.1.213,2.7.1.73",1.651541856364981e-05,0.003892448220901351,0.13818181818181818,0.260970851100208,0.0,0.0,0.0,0.0,0.13818181818181818,0.0
4496,"2.7.1.37,2.7.11.22",0.0013235441895250266,0.04588895400621037,0.30272727272727273,0.4916223774234357,0.0,0.016938775510204084,0.08533736367686166,0.0,0.28578849721706867,0.0
4509,"2.7.1.4,3.2.1.80",3.130084855900176e-06,0.002347279088756414,0.4881818181818182,0.41936788323332924,0.36,0.03816326530612245,0.10535989767609576,0.0,0.45001855287569575,0.36
