compound,EC,ro,p_value,adjusted_p_value
Mesotrione,"4.1.1.35,4.2.1.46",0.664698135664028,6.972377692662944e-09,9.63214256660733e-08
Mesotrione,"6.3.2.4,6.3.5.5",0.3305561723519069,0.009892286850926331,0.024200784973523626
Mesotrione,4.2.1.79,0.49378809734141416,6.0907335080164744e-05,0.0002538910495833624
Mesotrione,4.1.1.18,0.7825528419012138,1.527067669147142e-13,9.07484451153108e-12
Mesotrione,3.4.21.101,0.40138576042664215,0.0014802370139101208,0.004540243668800956
Mesotrione,2.5.1.108,0.3463135551638703,0.006717461556988896,0.01726682454233806
Mesotrione,"3.5.2.14,3.5.2.9,6.4.1.6",0.6891503323454373,1.144742639220352e-09,1.8381630263071436e-08
Mesotrione,"5.1.3.2,5.1.3.20",0.8366067776509978,8.571116839460388e-17,2.8509102416265315e-14
Mesotrione,4.2.1.44,0.69931610262337,5.123393606801133e-10,8.857428499439246e-09
Mesotrione,2.7.1.107,0.6842188459707277,1.6712386965517552e-09,2.6010089243939385e-08
Mesotrione,4.2.3.4,0.6492017375824274,2.0143737441413655e-08,1.7225005316629444e-07
Mesotrione,6.2.1.34,0.6452589606204998,2.6134572595029523e-08,2.159863130079276e-07
Mesotrione,2.7.4.23,0.7951753178926234,3.25807927390365e-14,3.175483536652042e-12
Mesotrione,6.3.2.10,0.7837721084460123,1.3213267683130918e-13,9.228844766623156e-12
Mesotrione,2.4.2.3,0.7792990331386354,2.236801751587554e-13,1.2224460481782283e-11
Mesotrione,2.4.1.281,0.5270634077217101,1.5151812817822578e-05,7.096756716373183e-05
Mesotrione,"2.1.2.3,3.5.4.10",0.6568337267840609,1.203762437792095e-08,1.0787945253857455e-07
Mesotrione,3.1.3.11,0.6540103016393657,1.4588064572641562e-08,1.291891120615244e-07
Mesotrione,2.6.1.16,0.7734855143046803,4.3546317010030637e-13,2.1195366646977127e-11
Mesotrione,5.1.3.1,0.6638020647507699,7.4260588512793005e-09,1.0211764950285495e-07
Mesotrione,2.7.7.9,0.6990359121322239,5.240523281103451e-10,9.047129195538242e-09
